OBJECTID,the_geom,BORO,UNITID,POINT_X,POINT_Y,CB,LATITUDE,LONGITUDE
1069,POINT (-73.94865382037632 40.76268287616981),4,H439894,998473.924,217146.84,108,40.7626839,-73.948654
1926,POINT (-73.9447238437597 40.76608273565468),4,H440032,999561.825,218386.183,108,40.7660828,-73.944725
2036,POINT (-73.95812965349806 40.75329392673788),4,H440533,995850.563,213724.743,108,40.7532921,-73.95813
3437,POINT (-73.9435515486768 40.767641350591724),4,H440110,999886.192,218954.245,108,40.767643,-73.94355
4005,POINT (-73.94898794457872 40.762988714864704),4,H439962,998381.3,217258.213,108,40.762989,-73.94899
5028,POINT (-73.95535851200465 40.75474847114022),4,H440362,996618.063,214255.06,108,40.7547493,-73.95536
5627,POINT (-73.9549564355052 40.757805859608325),4,H440542,996728.887,215369.023,108,40.7578049,-73.954956
5898,POINT (-73.94050826364501 40.77054203058933),4,H439555,1000728.46,220011.617,108,40.7705421,-73.940506
6381,POINT (-73.951768937936 40.76129655156901),4,H439898,997611.252,216641.266,108,40.7612953,-73.951767
6414,POINT (-73.94641671952374 40.76569295522464),4,H440037,999092.975,218243.882,108,40.7656937,-73.946419
7852,POINT (-73.95214683778421 40.75905681687289),4,H439827,997507.01,215825.2,108,40.7590568,-73.952147
9459,POINT (-73.95661335206886 40.753522049657626),4,H440298,996270.627,213808.06,108,40.753521,-73.956612
9866,POINT (-73.94594550814182 40.766204956080315),4,H440038,999223.389,218430.501,108,40.7662048,-73.945946
10674,POINT (-73.94722704152714 40.7632848445642),4,H439964,998869.038,217366.392,108,40.7632866,-73.947227
11725,POINT (-73.95201922791539 40.76058978576155),4,H439830,997542.056,216383.73,108,40.7605896,-73.952019
11978,POINT (-73.9402883706269 40.77110006245264),4,H439558,1000789.23,220214.968,108,40.7710991,-73.940285
13199,POINT (-73.94508691048685 40.76564211813943),4,H440022,999461.354,218225.589,108,40.7656403,-73.945084
14050,POINT (-73.94397426213538 40.77021668836616),4,H439559,999768.5,219892.451,108,40.7702179,-73.943977
15767,POINT (-73.9484563229729 40.76335339181152),4,H439963,998528.491,217391.163,108,40.7633553,-73.948456
15916,POINT (-73.94791331310246 40.764009410079964),4,H439960,998678.772,217630.261,108,40.7640076,-73.947914
16819,POINT (-73.94532112694621 40.76664015862274),4,H440028,999396.247,218589.167,108,40.7666397,-73.94532
17239,POINT (-73.94531391367683 40.765620598917536),4,H440023,999398.477,218217.709,108,40.7656212,-73.945313
17304,POINT (-73.94460426473346 40.76681124175544),4,H440035,999594.781,218651.623,108,40.7668114,-73.944603
17644,POINT (-73.94425425959457 40.76707190297301),4,H440105,999691.673,218746.652,108,40.7670708,-73.944252
18233,POINT (-73.94993658902752 40.76353453336334),4,H439970,998118.394,217456.921,108,40.7635346,-73.949936
27818,POINT (-73.94743510684 40.76450954914719),4,H439965,998811.133,217812.557,108,40.7645096,-73.947435
28768,POINT (-73.94314014240861 40.770863697359225),4,H439564,999999.389,220128.327,108,40.7708626,-73.943138
31527,POINT (-73.94442045425913 40.7683968286306),4,H440098,999645.331,219229.337,108,40.7683983,-73.94442
36163,POINT (-73.95092448596222 40.762447965424734),4,H440530,997844.952,217060.894,108,40.7624474,-73.950928
36202,POINT (-73.95426064269336 40.75848892809372),4,H440541,996921.52,215617.987,108,40.7584877,-73.954262
38181,POINT (-73.94925413476814 40.76415099766015),4,H439961,998307.315,217681.628,108,40.7641525,-73.949257
38644,POINT (-73.94495295921958 40.76914522853619),4,H440100,999497.657,219501.911,108,40.769146,-73.944954
39088,POINT (-73.94555604811252 40.76739968766487),4,H440025,999331.001,218865.848,108,40.7673988,-73.945557
39671,POINT (-73.95039907467302 40.761333023960276),4,H439901,997990.732,216654.766,108,40.761333,-73.950399
40986,POINT (-73.95517454850331 40.7572890357729),4,H440539,996668.557,215180.696,108,40.7572899,-73.955177
46936,POINT (-73.94156122106288 40.771904237582795),4,H439557,1000436.48,220507.718,108,40.771904,-73.941559
47858,POINT (-73.95301835745583 40.75820427021647),4,H440422,997265.735,215514.459,108,40.7582043,-73.953018
51777,POINT (-73.95354754453378 40.757809330074664),4,H440423,997119.206,215370.491,108,40.7578093,-73.953548
53968,POINT (-73.94761209077079 40.76587258771285),4,H440024,998761.809,218309.128,108,40.765873,-73.947609
54474,POINT (-73.94558727019647 40.765089691432),4,H440034,999322.875,218024.235,108,40.7650909,-73.945587
54664,POINT (-73.95420285952305 40.75763899763852),4,H440426,996937.69,215308.338,108,40.757639,-73.954203
54666,POINT (-73.94858993418552 40.76164350259566),4,H439892,998491.844,216768.173,108,40.7616425,-73.948593
57003,POINT (-73.95081569295883 40.76083945338274),4,H439900,997875.419,216474.877,108,40.7608395,-73.950816
57399,POINT (-73.94467106869898 40.76961455734925),4,H440099,999575.631,219672.952,108,40.7696152,-73.944672
57426,POINT (-73.9432754767937 40.76796245126794),4,H440109,999962.588,219071.282,108,40.7679634,-73.943275
